Description,Solution,Prediction rank,Predictions
marked by foolish or unreasoning fondness,infatuated,5,"['smitten', 'potty', 'gaga', 'pitty', 'infatuated', 'fondness', 'partial', 'fond', 'dainty', 'infatuation', 'doting', 'love', 'folly', 'dumbass', 'dotage', 'spoon', 'spoons', 'caress', 'craziness', 'lunacy', 'tomfoolery', 'indulgence', 'head', 'heads', 'press', 'pressed', 'fooling', 'fool', 'tender', 'tenderizer', 'senseless', 'fatuously', 'inanely', 'partiality', 'heedless', 'stupid', 'feel', 'feels', 'coax', 'stultify', 'ludicrous', 'fatuous', 'ridiculous', 'preposterous', 'silly', 'absurd', 'foolish', 'taken', 'bugger', 'coxcomb', 'chimera', 'taste', 'idolized', 'stolid', 'loblolly', 'goofball', 'hotshot', 'slapdash', 'slipshod', 'haphazard', 'bauble', 'rigmarole', 'foolishness', 'careless', 'twit', 'prt', 'petting', 'pet', 'cutter', 'feeling', 'nincompoop', 'ninny', 'idiotic', 'toy', 'compliment', 'compliments', 'faddy', 'lustful', 'favor', 'dearness', 'cool', 'jerk', 'affectation', 'passionate', 'coquetry', 'nuzzle', 'foolishly', 'unheeding', 'compunction', 'thoughtless', 'amorous', 'unthinking', 'blather', 'libidinous', 'sneer', 'sneering', 'fondly', 'ruefully', 'unhappy', 'craze', 'crazed', 'attached', 'modesty', 'lout', 'egging', 'egg', 'eggs', 'clapping', 'clap', 'buffer', 'buffing', 'salacious', 'goofy', 'deferential', 'unwise', 'dips', 'dip', 'dio', 'goof', 'idiot', 'jackass', 'found', 'cherished', 'precious', 'fancy', 'irregardless', 'ladylike', 'trick', 'considerate', 'dizzying', 'dizzy', 'languishing', 'crude', 'gross', 'simply', 'immodest', 'boredom', 'besotted', 'poke', 'ostentatious', 'shit', 'bill', 'catty', 'disdain', 'dipstick', 'liking', 'buffoonery', 'fetish', 'fart', 'farting', 'acquisitiveness', 'amorously', 'taff', 'thoughtlessness', 'grudging', 'grudge', 'flats', 'flatter', 'flattered', 'grimace', 'thoughtlessly', 'maf', 'mad', 'abracadabra', 'cuddles', 'cuddle', 'attachment', 'dear', 'mannish', 'relishing', 'nonsense', 'ogle', 'fanciful', 'toad', 'hypocritical', 'poignantly', 'fondu', 'bullshit', 'affect', 'unloving', 'hedonic', 'imprudence', 'inept', 'sexy', 'reverent', 'lascivious', 'fuck', 'screwball', 'vacantly', 'obscene', 'envy', 'fon', 'soft', 'cunning', 'urchin', 'idolatry', 'slight', 'affectionate', 'headless', 'ass', 'begrudgingly', 'bias', 'biased', 'baby', 'wild', 'bimbo', 'niggle', 'fatuity', 'imprudent', 'cod', 'bozo', 'fines']"
a conceptual whole made up of complicated and related parts,composite,1,"['composite', 'compositing', 'complex', 'complication', 'framework', 'analysis', 'simples', 'simple', 'demarcation', 'contrasting', 'contrast', 'contrasted', 'section', 'segment', 'sectioned', 'sectioning', 'component', 'gist', 'aggregation', 'accumulation', 'collection', 'assemblage', 'relation', 'structuring', 'structure', 'construction', 'superstructure', 'reductionism', 'dissect', 'multiplexing', 'multiplex', 'elementary', 'molecular', 'detail', 'item', 'particular', 'model', 'synoptic', 'sample', 'sampling', 'gestalt', 'synthesis', 'makeup', 'side', 'category', 'det', 'sets', 'set', 'constituent', 'conceptualise', 'abracadabra', 'unity', 'shebang', 'combination', 'conceptually', 'explication', 'proportioned', 'proportions', 'proportion', 'composition', 'anatomy', 'coherence', 'compartmentalize', 'compartmentalized', 'miscellany', 'skeleton', 'namespace', 'mechanism', 'promiscuous', 'rooted', 'formal', 'database', 'labyrinth', 'piecemeal', 'conceptualization', 'complexity', 'manifold', 'dimensioning', 'dimensionality', 'dimensionally', 'dimension', 'kut', 'kit', 'kir', 'length', 'metaphysical', 'division', 'part', 'bulk', 'coherent', 'encyclopedic', 'symbol', 'generalization', 'abstraction', 'conceptualisation', 'ally', 'allies', 'binary', 'judgment', 'multitudinous', 'jumbled', 'jumble', 'nuanced', 'parcel', 'parcelling', 'infrastructure', 'substructure', 'ensemble', 'mixed', 'divide', 'deconstruction', 'ravel', 'piece', 'piecing', 'resolving', 'resolve', 'secret', 'enigma', 'mystery', 'secretively', 'aggregate', 'aggregated', 'loose', 'determination', 'stamina', 'fabric', 'symmetrical', 'morphology', 'involve', 'ultimate', 'logical', 'ideation', 'portion', 'conceptual', 'divided', 'integrate', 'structural', 'construct', 'embodiment', 'article', 'articles', 'elaborated', 'elaborate', 'analyze', 'breakdown', 'symphysis', 'general', 'ingredient', 'factor', 'distribution', 'conceptualize', 'form', 'participle', 'complicated', 'percept', 'perception', 'objectivity', 'coherency', 'disambiguate', 'microcosm', 'lot', 'lots', 'patchwork', 'respect', 'respects', 'respected', 'clarification', 'elucidation', 'illumination', 'consistent', 'close', 'educated', 'monism', 'organized', 'linkage', 'describable', 'dividing', 'outlined', 'outline', 'old', 'maze', 'harmony', 'compound', 'analogy', 'conglomeration', 'analogue', 'suite', 'organic', 'clastic', 'abc', 'unpacked', 'unpack', 'unpacking', 'depth', 'heterogeneity', 'inkling', 'compendious', 'disassemble', 'hookup', 'embrace']"
sensitivity to the action of radiant energy,radiosensitivity,1,"['radiosensitivity', 'photosensitivity', 'photosensitive', 'sun', 'transmission', 'radiometer', 'reflectance', 'reflectivity', 'photovoltaic', 'radiance', 'aglow', 'ablaze', 'radiant', 'flash', 'radiantly', 'radiosensitive', 'lamp', 'bolometer', 'ray', 'broiled', 'photolysis', 'effulgent', 'glowing', 'intensity', 'ardor', 'insolation', 'radio', 'bask', 'basking', 'irradiance', 'lucent', 'lambent', 'opaque', 'hotspot', 'fervency', 'het', 'heat', 'refulgent', 'sunshine', 'exposure', 'efficiency', 'sunny', 'radiate', 'radiating', 'pencil', 'irradiated', 'irradiate', 'cooked', 'cook', 'photosynthesis', 'infrared', 'stratosphere', 'hotness', 'solarization', 'radiator', 'broil', 'broiling', 'incandescence', 'radiation', 'sensitize', 'sensitized', 'sensitizing', 'shadow', 'shadowed', 'golden', 'shining', 'glow', 'absorbed', 'sweltering', 'strength', 'forces', 'force', 'forcefulness', 'photodynamic', 'cell', 'grays', 'gy', 'activating', 'activation', 'energizing', 'irradiation', 'emissivity', 'beam', 'lustrous', 'solar', 'extinction', 'shiny', 'calorific', 'sunlight', 'endothermic', 'blaze', 'blazed', 'shine', 'uranium', 'thermic', 'thermal', 'rad', 'burning', 'sultry', 'effuse', 'photic', 'hot', 'roast', 'exothermic', 'glare', 'lossy', 'shading', 'cold', 'thermopile', 'sheen', 'energy', 'dissipative', 'torrid', 'reflection', 'cool', 'weather', 'geothermal', 'illuminated', 'thinned', 'thinning', 'radiative', 'calorimeter', 'thermodynamics', 'enterprise', 'sunlit', 'sunbeam', 'daylight', 'fluorescence', 'polarization', 'shady', 'medium', 'sunburned', 'sunburn', 'fresco', 'exposition', 'tune', 'tuned', 'luminosity', 'burn', 'stream', 'streamed', 'refrigerant', 'effulgence', 'ignite', 'flare', 'antiparticle', 'reabsorption', 'tan', 'tans', 'tanned', 'savage', 'fierce', 'incandescent', 'furnace', 'temperature', 'thermally', 'air']"
an accumulation of refuse and discarded matter,scrapheap,1,"['scrapheap', 'trashing', 'trash', 'trashed', 'conglomeration', 'boneyard', 'salvaging', 'salvage', 'scavenge', 'waste', 'littered', 'junk', 'lodgment', 'rubbish', 'cumulation', 'dismissal', 'littering', 'litter', 'midden', 'dunghill', 'refuse', 'collection', 'garner', 'garnering', 'accumulation', 'offal', 'ort', 'bins', 'bin', 'barrow', 'riffraff', 'dustman', 'garbageman', 'burrow', 'burrowing', 'burrows', 'buildup', 'landfill', 'reclaimed', 'reclaim', 'garbage', 'tipping', 'ashcan', 'dustbin', 'dumper', 'dross', 'sewerage', 'scum', 'dumping', 'dump', 'pelf', 'emptying', 'dumpsite', 'manure', 'deaccession', 'congestion', 'dissipate', 'squandered', 'squander', 'recycling', 'recovery', 'vast', 'wash', 'scavenger', 'magpie', 'packrat', 'gathering', 'cordial', 'garble', 'husk', 'budgeting', 'budget', 'sanitation', 'filthiness', 'filth', 'foulness', 'nastiness', 'deposit', 'depositing', 'sediment', 'depositional', 'litterbug', 'remainder', 'exhaustion', 'junky', 'flotsam', 'cumulative', 'sweeping', 'rubbishy', 'exaggeration', 'castaway', 'sewage', 'soiling', 'soil', 'soiled', 'sparing', 'economical', 'scotch', 'frugal', 'tip', 'tipped', 'breeze', 'dreg', 'refuge', 'consumption', 'slam', 'slamming', 'trashy', 'lean', 'surrender', 'surrendering', 'cobweb', 'discard', 'discarded', 'discarding', 'pollute', 'loss', 'backup', 'raff', 'tail', 'tails', 'riches', 'agglomeration', 'cesspit', 'destructor', 'dumpster', 'reuse', 'reusing', 'provisions', 'provision', 'provisioning', 'salamander', 'effluvium', 'inexhaustible', 'compactor', 'rummage', 'rummaging', 'amplitude', 'bounty', 'trade', 'trades', 'expenditure', 'recyclable', 'scrapping', 'scraps', 'scrap', 'conglomerate', 'lagoon', 'tass', 'aggregation', 'backlog', 'hoard', 'jetsam', 'lavish', 'carton', 'recycled', 'recycle', 'recollection', 'pickup', 'pile', 'reclamation', 'junkyard', 'jejune', 'population', 'brash', 'go', 'stuffed', 'stuff', 'deposition', 'reuptake', 'dusting', 'dust', 'mess', 'evacuation', 'neglected', 'neglect', 'disused', 'trumpery', 'dispositive', 'receptacle']"
a streamlined train,streamliner,1,"['streamliner', 'shovelnose', 'puffer', 'highball', 'engine', 'entrain', 'metro', 'hotshot', 'rattler', 'bullets', 'bullet', 'bulleted', 'runaway', 'parliamentary', 'superliner', 'van', 'union', 'rail', 'rails', 'kettle', 'crossover', 'monorail', 'coach', 'expressing', 'express', 'traces', 'trace', 'trucks', 'trucked', 'tiring', 'tire', 'trackage', 'engineer', 'engineered', 'freight', 'ahead', 'switching', 'riad', 'road', 'locomotive', 'trainload', 'r', 'csr', 'car', 'railcar', 'slack', 'slacks', 'slacking', 'train', 'trained', 'tender', 'tenderizer', 'ditching', 'ditch', 'cannonball', 'rod', 'angus', 'cutout', 'shunted', 'shunt', 'railfan', 'local', 'railroad', 'trail', 'training', 'rr', 'ropeway', 'underground', 'railway', 'piloting', 'pilot', 'derailment', 'block', 'corridor', 'switch', 'lineside', 'flatbed', 'platform', 'gare', 'longitudinal', 'footplate', 'maglev', 'piggyback', 'fast', 'fasting', 'pass', 'passed', 'caboose', 'metals', 'metal', 'terminal', 'feeder', 'rollercoaster', 'commuter', 'underlining', 'rattled', 'rattle', 'rattling', 'railbed', 'superstructure', 'aiding', 'gantlet', 'railgun', 'sidetrack', 'mogul', 'pupa', 'guard', 'derailing', 'limited', 'fender', 'cowcatcher', 'buffer', 'buffing', 'pusher', 'through', 'el', 'nurse', 'raked', 'rake', 'sectioned', 'section', 'sectioning', 'coasting', 'equipage', 'atp', 'tram', 'locomotor', 'vestibule', 'sleeper', 'spur', 'spurs', 'spurring', 'timetable', 'outbound', 'creeps', 'creep', 'steamer', 'streamlined', 'streamline', 'switchback', 'chassis', 'equate', 'corkscrew', 'decapod', 'doubleheader', 'hurtling', 'hurtle', 'stub', 'stubbing', 'meets', 'meet', 'motive', 'tracking', 'tracked', 'tracks', 'track', 'temper', 'driveline', 'kinked', 'joined', 'coupled', 'driver', 'transfer', 'on', 'pn', 'medium', 'shunter', 'fly', 'flies', 'swindon', 'coupling']"
of or relating to or derived from humus,humic,1,"['humic', 'arian', 'tarsal', 'formic', 'etymological', 'humus', 'anal', 'humped', 'roman', 'alluvial', 'carpal', 'serological', 'serologic', 'acinar', 'caprine', 'evolutionary', 'humming', 'specific', 'humpy', 'vegetable', 'umbral', 'rural', 'latin', 'mammalian', 'humane', 'botanic', 'heterologous', 'glabellar', 'dural', 'botanical', 'elephantine', 'morphological', 'humanistic', 'etiological', 'toral', 'limbic', 'catarrhal', 'chian', 'funkadelic', 'palmy', 'organismal', 'organismic', 'usufructuary', 'marsupial', 'primatial', 'thespian', 'horticultural', 'praetorian', 'tribal', 'anaerobic', 'verbal', 'bovine', 'pietistic', 'accessorial', 'climacteric', 'cardiac', 'patrimonial', 'reproductive', 'matin', 'generic', 'planetary', 'gallic', 'thymic', 'tartaric', 'generative', 'perineal', 'numinous', 'julian', 'cesarean', 'sublingual', 'arboreal', 'biologic', 'biological', 'metacarpal', 'linguistic', 'eurasian', 'hereditary', 'ornithological', 'unmanly', 'allelic', 'phylogenetic', 'kindly', 'hermaphroditic', 'sympatric', 'septal', 'lime', 'limes', 'liming', 'thalamic', 'damascene', 'intellectual', 'genitive', 'ontogenetic', 'anthemic', 'corpuscular', 'telluric', 'genetic', 'genealogical', 'flagellate', 'saurian', 'simian', 'sciatic', 'millenary', 'derivation', 'isomeric', 'precursory', 'subthalamic', 'pontine', 'annelid', 'meaty', 'hunch', 'patronymic', 'systematic', 'hierarchic', 'nucleolar', 'composite', 'compositing', 'developmental', 'ethnical', 'ethnological', 'demotic', 'shrubby', 'protean', 'familial', 'vegetative', 'purist', 'brahman', 'symbiotic', 'genital', 'herbal', 'hierarchical', 'harmonic', 'elvish', 'syllogistic', 'african', 'chiefly', 'algal', 'lumbosacral', 'centenarian', 'chimerical', 'allegoric', 'flagellar', 'gentile', 'fibrous', 'morphologic', 'pericardial', 'sapiens', 'glottal', 'multicultural', 'geological', 'geologic', 'hindu', 'subcontinental', 'unworldly', 'spinal', 'chordate', 'amorous', 'terrestrial', 'adenoidal', 'adjectival', 'ruminant', 'isothermal', 'nasal', 'nonagenarian', 'occipital', 'moorish', 'venereal', 'taxonomical', 'avian', 'syllabic', 'classic', 'cortical', 'mammary', 'midrashic', 'palatal', 'palatine', 'caesarian', 'caesarean', 'gradational', 'coniferous', 'natriuretic', 'genic', 'genetical', 'sulphurous', 'british', 'foliate', 'kinaesthetic', 'kinesthetic', 'reptilian', 'somatosensory', 'pharyngeal', 'guttural', 'glomerular', 'sheepish']"
in a feverish manner,feverishly,1,"['feverishly', 'hot', 'fever', 'infectiously', 'febrile', 'icily', 'pyrexia', 'hotly', 'heatedly', 'feverish', 'coldly', 'bubble', 'sickeningly', 'fevered', 'hellishly', 'invidiously', 'ague', 'grumpily', 'crossly', 'pyrogenic', 'insidiously', 'milf', 'mild', 'flush', 'flushed', 'het', 'heat', 'prodigiously', 'severely', 'riotously', 'passionately', 'deliciously', 'devilishly', 'hesitatingly', 'pompously', 'portentously', 'ravishingly', 'fiery', 'intensely', 'inauspiciously', 'undesirably', 'ominously', 'acrimoniously', 'boisterously', 'bloodily', 'horrifyingly', 'ceremonially', 'capriciously', 'menacingly', 'threateningly', 'tranquilly', 'bloodlessly', 'auspiciously', 'promisingly', 'laboriously', 'precipitately', 'fulsomely', 'skimpily', 'sensationally', 'lusciously', 'chilly', 'morbidly', 'nervously', 'hysterically', 'blithely', 'horridly', 'humanly', 'lasciviously', 'gruesomely', 'religiously', 'ineffectually', 'insensibly', 'luridly', 'medically', 'raving', 'rather', 'refrigerant', 'horrifically', 'aloof', 'calmly', 'gloriously', 'belligerently', 'frost', 'hungrily', 'extremely', 'effusively', 'poisonously', 'venomously', 'evilly', 'gregariously', 'carefully', 'devoutly', 'fiercely', 'malignantly', 'cleanly', 'flawlessly', 'adroitly', 'virulently', 'coccidioidomycosis', 'nastily', 'obtusely', 'quaintly', 'pleasantly', 'antipyretic', 'malevolently', 'nasally', 'fluidly', 'lustily', 'breezily', 'promptly', 'punctually', 'readily', 'orally', 'unerringly', 'monstrously', 'grotesquely', 'contracture', 'tepidly', 'concoction', 'clinically', 'cheaply', 'fortuitously', 'humbly', 'tenderly', 'fiendishly', 'gayly', 'jubilantly', 'merrily', 'happily', 'stirringly', 'so', 'poetically', 'fastidiously', 'feebly', 'freakishly', 'agonizingly', 'excruciatingly', 'dismally', 'dreadfully', 'unpleasantly', 'exquisitely', 'solemnly', 'temperature', 'lustfully', 'how', 'fearsomely', 'vacuously', 'hostilely', 'dizzily', 'gravely', 'painfully', 'egregiously', 'exuberantly', 'expansively', 'patiently', 'candidly', 'tropically', 'thermally', 'pitilessly', 'punctiliously', 'delightfully', 'lifelessly', 'convulsively', 'speciously', 'gloomily', 'fantastically', 'dolefully', 'gently', 'dangerously', 'hazardously', 'mortally', 'temperately', 'infernally', 'ecstatically', 'jocularly', 'madly', 'insanely', 'forlornly', 'somberly', 'sombrely']"
a pocket - size case for holding papers and paper money,pocketbook,2,"['billfold', 'pocketbook', 'portfolio', 'purse', 'penner', 'briefcase', 'binder', 'holdall', 'pocket', 'folding', 'currency', 'clams', 'clam', 'dollar', 'buck', 'pocketable', 'wad', 'pillbox', 'cartouche', 'toilet', 'compact', 'safe', 'note', 'bill', 'bankroll', 'clipboard', 'slit', 'banknote', 'bag', 'pocketful', 'greenback', 'cardholder', 'spotting', 'spot', 'spots', 'bookcase', 'cashbox', 'budget', 'budgeting', 'casket', 'satchel', 'toolbox', 'tilling', 'till', 'tilled', 'nox', 'box', 'sleeve', 'pigeonhole', 'pigeonholing', 'book', 'books', 'booking', 'knapsack', 'handbag', 'pouch', 'irredeemable', 'trouser', 'brochure', 'folder', 'pamphlet', 'leaflet', 'attache', 'press', 'pressed', 'sacked', 'poke', 'sack', 'paper', 'jag', 'flimsy', 'luggage', 'locket', 'folio', 'card', 'fob', 'snuffbox', 'clip', 'cashier', 'showcase', 'paperclip', 'roll', 'rolled', 'cannister', 'slips', 'slipped', 'slip', 'slipping', 'cassette', 'file', 'tablet', 'kick', 'skyrocketed', 'skyrocket', 'kicks', 'notepad', 'sum', 'su', 'summing', 'amount', 'mail', 'tower', 'paperboard', 'portmanteau', 'album', 'numismatist', 'scrip', 'jackson', 'canterbury', 'trunking', 'trunks', 'trunk', 'tick', 'ticked', 'rocks', 'rock', 'monetary', 'bulge', 'cash', 'readied', 'readies', 'readying', 'ready', 'crate', 'casement', 'case', 'wallet', 'coffered', 'coffer', 'pickpocket', 'cardboard', 'cartridge', 'elastic', 'foolscap', 'numismatics', 'softcover', 'cod', 'pager', 'patron', 'depositing', 'depositional', 'deposit', 'newsprint', 'paperback', 'hardback', 'page', 'fiduciary', 'ginge', 'hinge', 'demy', 'nesting', 'nest', 'nested', 'twenty']"
concern for your own interests and welfare,egocentrism,1,"['egocentrism', 'egoism', 'adverse', 'inauspicious', 'untoward', 'self', 'sook', 'sake', 'unselfish', 'heartlessness', 'hale', 'humanitarianism', 'altruistic', 'selfless', 'interest', 'concern', 'selfishness', 'good', 'prudent', 'provident', 'caring', 'care', 'humanist', 'interested', 'hele', 'selfish', 'denial', 'abnegation', 'disinterest', 'altruism', 'selflessness', 'socal', 'commonweal', 'affairs', 'expedient', 'humanism', 'disinterested', 'hard', 'foreign', 'immoral', 'individualism', 'supporting', 'supported', 'support', 'equal', 'equals', 'materialistic', 'matter', 'import', 'left', 'canny', 'charity', 'egocentric', 'behoove', 'philanthropy', 'egoistic', 'behalf', 'unqualified', 'subsidized', 'subsidize', 'touch', 'touched', 'economist', 'considerate', 'national', 'concerning', 'indifferent', 'protectionist', 'domestic', 'indigent', 'profits', 'profit', 'public', 'individuality', 'personally', 'particularism', 'affair', 'subsidization', 'apathetic', 'friendly', 'carefree', 'bother', 'bothered', 'issue', 'introverted', 'business', 'outside', 'better', 'vetter', 'selfishly', 'prudence', 'consumerism', 'lookout', 'opportunistic', 'charitable', 'despise', 'despised', 'despising', 'shebang', 'progressivism', 'thing', 'disadvantaged', 'disadvantage', 'reck', 'internal', 'article', 'articles', 'disinterestedness', 'accommodation', 'unencumbered', 'realpolitik', 'naysaying', 'apathy', 'humanistic', 'mind', 'mindfulness', 'structural', 'accommodate', 'enlist', 'insouciant', 'saluting', 'troubled', 'troubling', 'trouble', 'encourage', 'involve', 'studying', 'study', 'affected', 'solicitude', 'imperialism', 'greedy', 'exploited', 'subvention', 'nerdy', 'needy', 'aarp', 'sensationalism', 'advantageously', 'meanness', 'snug', 'independence', 'penurious', 'paternalism', 'concerned', 'look', 'kook', 'looks', 'autarky', 'independent', 'economic', 'plank', 'unconscionable', 'ish', 'benefactor', 'classless', 'egalitarian', 'friends', 'friend', 'advance', 'advancing', 'fluid', 'mobile', 'expedience', 'opportunism', 'providence', 'belong', 'socialist', 'tender', 'tenderizer', 'isolationism', 'regard', 'regards', 'grants', 'grant', 'unattractive', 'remunerative', 'intergenerational', 'behind', 'benefit', 'account', 'accounting', 'catholic', 'libertarianism', 'prosperity', 'philanthropic', 'benevolent', 'eleemosynary', 'beneficent', 'dependance', 'dependence', 'blessing', 'damn']"
still in doubt,unsettled,0,"['dread', 'dreaded', 'dreads', 'uncertain', 'unimpeachable', 'querying', 'query', 'suspect', 'authentically', 'positively', 'doubtful', 'doubtless', 'likely', 'belike', 'problematic', 'sure', 'decidedly', 'unquestionably', 'definitely', 'emphatically', 'unhesitatingly', 'maybe', 'jealous', 'doubtfully', 'scruple', 'scruples', 'probable', 'umbrage', 'questions', 'question', 'questioning', 'certain', 'scrupulous', 'dubious', 'hesitatingly', 'suspicious', 'surety', 'naturally', 'cocksure', 'fearing', 'fear', 'feared', 'moral', 'doubt', 'inconclusively', 'undoubted', 'questionably', 'cinch', 'clearly', 'posse', 'believe', 'undoubtably', 'proven', 'cloudy', 'doubtlessly', 'unsuspected', 'positive', 'certainly', 'likelihood', 'perchance', 'happily', 'cert', 'peradventure', 'verily', 'perfecting', 'perfect', 'perfected', 'improbable', 'dicky', 'unarguably', 'conclusively', 'contemplate', 'aside', 'know', 'knows', 'univocal', 'all', 'confirm', 'confirmed', 'confirming', 'problematical', 'specs', 'spec', 'think', 'thunk', 'assuredly', 'call', 'prospect', 'prospecting', 'safe', 'perhaps', 'mayhap', 'possibly', 'daresay', 'course', 'mistrust', 'hardly', 'indecisive', 'suspected', 'fortune', 'rub', 'remote', 'outside', 'definite', 'seem', 'appearing', 'appear', 'clear', 'cleared', 'forecast', 'forecasted', 'certitude', 'mulligan', 'inconceivable', 'impossible', 'unimaginable', 'cautionary', 'suspiciously', 'doubter', 'implausible', 'hesitantly', 'conceivably', 'bound', 'infallible', 'unlikelihood', 'hint', 'clue', 'means', 'mean', 'paradoxical', 'suggestibility', 'intimate', 'suggest', 'suggestively', 'suggesting', 'unlikely', 'probability', 'incertitude', 'sealed', 'sealing', 'seal', 'truly', 'extractive', 'known', 'hip', 'never', 'problematically', 'shying', 'shy', 'soupcon', 'imagine', 'imagining', 'distinctly', 'possible', 'potential', 'discernible', 'understand', 'infer', 'inkling', 'uncertainty', 'unclear', 'challengeable', 'chancy', 'theorizing', 'theorize', 'fancy', 'implicitly', 'doubting', 'steadfastly', 'dependent', 'conscience', 'opine', 'trow', 'inference', 'fishy', 'bonafide', 'implicit', 'unquestioning', 'chance', 'spurious', 'distrustful', 'debatable', 'unwarranted', 'sicker', 'betcha', 'incredibly', 'improbably', 'implausibly', 'unbelievably', 'presumable', 'suspicion', 'uncouth', 'unknown', 'computed', 'computing', 'account', 'accounting', 'compute', 'darkling', 'kast', 'last', 'al', 'uncertainly']"
